id,indivfinfeel,immfeel
2417,hopeless - no likeliness of work as I am too old (55) and unilingual (English),wish it were fair but we need to protect our social systems from those who will abuse it
2418,,
2419,I get by but don't have money left for extras.,It is a good idea. We need to save these people from the hardships in their war torn countries.
2420,very bad,"think there is too much of it, the immigrants get more help with everyday needs and money that Canadians fight to live for. This is our country but where is the help we need?"
2421,Difficult,
2422,I work paycheque to paycheque,I think it is a good thing but at some point we should make sure people already here are taken care of before we bring more people into our country
2423,,
2424,Student working so fine I'm coping with it,Nothing wrong with immigration
2425,Not the best,Good
2426,need more,refugees situation is too much.
2427,hopeful,good but we see less of the original people
2428,Barely surviving from paycheck to paycheck,Great diverse country
2429,I'm as broke as a convict.,"We had to lower our standards before people from poor countries could get into Canada. We should raise them back up. No access to social services until they've been here for five years. If they want to sponsor elderly relatives, they should be made to pay all expenses for them, including ALL health care. Look to Australia for an example."
2430,getting by,"make sure they get what they need, but not take away from Canadians that are here first"
2431,Stressed,Neutral
2432,We manage with what we have.  We are not big spenders and that helps when the government is trying to suck every last cent out of your pockets.,We are a county made of immigrants. Immigration is necessary to continue to grow our population.  We need stricter laws as to who we welcome and we need to stop bending over backwards to change our ways to suit newcomers.  Canada is a great place to live so if people want to live here they need to abide by our laws.
2433,comfortable,I feel the benefits of it far outweigh the few bad anecdotal examples
2434,Fixed income,Don't like it.
2435,,
2436,,
2437,great effort,great effort
2438,More money would be nice. Everything is so expensive these days how are we supposed to survive,Great why not help those who need it. Everyone deserves the chance to live in this great nation
2439,I feel fine about my financial situation and can mange it day to day,I have many friends and acquaintances who are immigrants.
2440,"I will have nothing for retirement 

I'm a struggling single mom","Like we are being pushed out of our own country

. Our way of life has had to accommodate them if they choose to come here they live like us."
